WKT,cat,capacity,origin_rd,origin_pt0
"POINT (160743.992543807718903 5407803.361723148263991)",91,20,1,0
"POINT (160652.782384692662163 5407543.574326652102172)",92,20,1,0
"POINT (160641.381114803283708 5407595.531805951148272)",92,20,1,0
"POINT (160652.782384692662163 5407533.182830791920424)",93,20,1,0
"POINT (160652.782384692662163 5407543.574326652102172)",93,20,1,0
"POINT (160664.183654582069721 5407533.182830791920424)",94,20,1,0
"POINT (160652.782384692662163 5407533.182830791920424)",94,20,1,0
"POINT (155738.835062369907973 5407522.791334932669997)",95,20,1,0
"POINT (155716.032522591151064 5407595.531805951148272)",95,20,1,0
"POINT (160869.406512590881903 5407439.659368053078651)",96,20,1,0
"POINT (160664.183654582069721 5407533.182830791920424)",96,20,1,0
"POINT (160869.406512590881903 5407439.659368053078651)",97,20,1,0
"POINT (160743.992543807718903 5407803.361723148263991)",97,20,1,0
"POINT (154689.918232546944637 5407398.093384614214301)",98,20,1,0
"POINT (154211.064897192991339 5407824.144714867696166)",98,20,1,0
"POINT (154701.319502436323091 5407398.093384614214301)",99,20,1,0
"POINT (154689.918232546944637 5407398.093384614214301)",99,20,1,0
"POINT (154701.319502436323091 5407398.093384614214301)",100,20,1,0
"POINT (155157.37029801151948 5407595.531805951148272)",100,20,1,0
"POINT (154701.319502436323091 5407387.701888754032552)",101,20,1,0
"POINT (154701.319502436323091 5407398.093384614214301)",101,20,1,0
"POINT (160892.209052369667916 5407356.527401174418628)",102,20,1,0
"POINT (160869.406512590881903 5407439.659368053078651)",102,20,1,0
"POINT (161006.221751263452461 5407356.527401174418628)",103,20,1,0
"POINT (160892.209052369667916 5407356.527401174418628)",103,20,1,0
"POINT (162442.781757325341459 5407304.569921875372529)",104,20,1,0
"POINT (162442.781757325341459 5408052.757623785175383)",104,20,1,0
"POINT (163240.870649581949692 5410141.448291615583003)",104,20,1,0
"POINT (163890.743033276579808 5409580.307515183463693)",104,20,1,0
"POINT (164495.01033741372521 5407959.234161046333611)",104,20,1,0
"POINT (158634.757614272413775 5407190.263467417098582)",105,20,1,0
"POINT (157962.082690798997646 5407429.267872193828225)",105,20,1,0
"POINT (158646.15888416179223 5407190.263467417098582)",106,20,1,0
"POINT (158634.757614272413775 5407190.263467417098582)",106,20,1,0
"POINT (158646.15888416179223 5407190.263467417098582)",107,20,1,0
"POINT (159296.03126785645145 5407678.663772829808295)",107,20,1,0
"POINT (162568.195726108504459 5407190.263467417098582)",108,20,1,0
"POINT (162442.781757325341459 5407304.569921875372529)",108,20,1,0
"POINT (158634.757614272413775 5407179.871971556916833)",109,20,1,0
"POINT (158634.757614272413775 5407190.263467417098582)",109,20,1,0
"POINT (155396.79696568849613 5407148.697483977302909)",110,20,1,0
"POINT (155157.37029801151948 5407595.531805951148272)",110,20,1,0
"POINT (155396.79696568849613 5407138.305988118052483)",111,20,1,0
"POINT (155385.395695799117675 5407138.305988118052483)",111,20,1,0
"POINT (155396.79696568849613 5407138.305988118052483)",112,20,1,0
"POINT (155396.79696568849613 5407148.697483977302909)",112,20,1,0
"POINT (154701.319502436323091 5407387.701888754032552)",113,20,1,0
"POINT (155385.395695799117675 5407138.305988118052483)",113,20,1,0
"POINT (155499.408394692931324 5407107.131500538438559)",114,20,1,0
"POINT (155396.79696568849613 5407138.305988118052483)",114,20,1,0
"POINT (155499.408394692931324 5407107.131500538438559)",115,20,1,0
"POINT (155738.835062369907973 5407522.791334932669997)",115,20,1,0
"POINT (162362.972868099663174 5407013.608037799596786)",116,20,1,0
"POINT (162442.781757325341459 5407304.569921875372529)",116,20,1,0
"POINT (162362.972868099663174 5407013.608037799596786)",117,20,1,0
"POINT (162568.195726108504459 5407190.263467417098582)",117,20,1,0
"POINT (159866.094762325461488 5406951.259062640368938)",118,20,1,0
"POINT (159649.470634427241748 5407824.144714867696166)",118,20,1,0
"POINT (168599.467497590521816 5406951.259062640368938)",119,20,1,0
"POINT (169625.581787634728244 5407127.914492257870734)",119,20,1,0
"POINT (170070.231313320546178 5407522.791334932669997)",119,20,1,0
"POINT (160390.553177236928605 5406930.476070920936763)",120,20,1,0
"POINT (159866.094762325461488 5406951.259062640368938)",120,20,1,0
"POINT (160401.954447126307059 5406930.476070920936763)",121,20,1,0
"POINT (160390.553177236928605 5406930.476070920936763)",121,20,1,0
"POINT (160401.954447126307059 5406930.476070920936763)",122,20,1,0
"POINT (160652.782384692662163 5407533.182830791920424)",122,20,1,0
"POINT (160401.954447126307059 5406920.084575060755014)",123,20,1,0
"POINT (160401.954447126307059 5406930.476070920936763)",123,20,1,0
"POINT (167436.537968873773934 5406847.344104041345417)",124,20,1,0
"POINT (165475.51954790041782 5408312.545020281337202)",124,20,1,0
"POINT (167447.939238763152389 5406847.344104041345417)",125,20,1,0
"POINT (167436.537968873773934 5406847.344104041345417)",125,20,1,0
"POINT (167447.939238763152389 5406847.344104041345417)",126,20,1,0
"POINT (168599.467497590521816 5406951.259062640368938)",126,20,1,0
"POINT (167447.939238763152389 5406836.952608182094991)",127,20,1,0
"POINT (167447.939238763152389 5406847.344104041345417)",127,20,1,0
"POINT (158520.74491537862923 5406826.561112321913242)",128,20,1,0
"POINT (158634.757614272413775 5407179.871971556916833)",128,20,1,0
"POINT (163503.09985703768325 5406826.561112321913242)",129,20,1,0
"POINT (162568.195726108504459 5407190.263467417098582)",129,20,1,0
"POINT (163514.501126927061705 5406826.561112321913242)",130,20,1,0
"POINT (163503.09985703768325 5406826.561112321913242)",130,20,1,0
"POINT (163514.501126927061705 5406826.561112321913242)",131,20,1,0
"POINT (164495.01033741372521 5407959.234161046333611)",131,20,1,0
"POINT (158520.74491537862923 5406816.169616461731493)",132,20,1,0
"POINT (158520.74491537862923 5406826.561112321913242)",132,20,1,0
"POINT (158532.146185268007684 5406816.169616461731493)",133,20,1,0
"POINT (158520.74491537862923 5406816.169616461731493)",133,20,1,0
"POINT (163503.09985703768325 5406816.169616461731493)",134,20,1,0
"POINT (163503.09985703768325 5406826.561112321913242)",134,20,1,0
"POINT (160436.158256794442423 5406805.778120602481067)",135,20,1,0
"POINT (160401.954447126307059 5406920.084575060755014)",135,20,1,0
"POINT (163503.09985703768325 5406722.646153723821044)",136,20,1,0
"POINT (163503.09985703768325 5406816.169616461731493)",136,20,1,0
"POINT (160903.61032225904637 5406691.47166614420712)",137,20,1,0
"POINT (160436.158256794442423 5406805.778120602481067)",137,20,1,0
"POINT (160915.011592148424825 5406691.47166614420712)",138,20,1,0
"POINT (160903.61032225904637 5406691.47166614420712)",138,20,1,0
"POINT (160915.011592148424825 5406691.47166614420712)",139,20,1,0
"POINT (160892.209052369667916 5407356.527401174418628)",139,20,1,0
"POINT (160903.61032225904637 5406681.080170284025371)",140,20,1,0
